indices,classes,samples,attributes,Sensitivity,Specificity
816,9,25000,10,4.16,93.22
817,9,25000,50,28.24,70.46
818,9,25000,75,41.28,60.19
819,9,25000,100,48.32,51.43
820,9,25000,250,80.08,19.76
821,9,25000,500,96.24,4.25
822,11,25000,10,8.48,92.47
823,11,25000,50,28.88,70.85
824,11,25000,75,38.56,60.61
825,11,25000,100,50.0,51.36
826,11,25000,250,79.52,20.29
827,11,25000,500,96.48,4.19
