samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
25000,10,3,,748,42,706,23044,1208,5.61,95.02,3.36,97.03
25000,50,3,,755,34,721,23029,1216,4.50,94.98,2.72,96.96
25000,75,3,,754,49,705,23045,1201,6.50,95.05,3.92,97.03
25000,100,3,,749,38,711,23039,1212,5.07,95.00,3.04,97.01
25000,10,5,,756,31,725,23025,1219,4.10,94.97,2.48,96.95
25000,50,5,,0,0,0,23750,1250,NaN,95.0,0.0,100.0
25000,75,5,,747,37,710,23040,1213,4.95,95.00,2.96,97.01
25000,100,5,,751,39,712,23038,1211,5.19,95.01,3.12,97.00
25000,10,7,,749,36,713,23037,1214,4.81,94.99,2.88,97.00
25000,50,7,,749,45,704,23046,1205,6.01,95.03,3.60,97.04
25000,75,7,,753,37,716,23034,1213,4.91,95.00,2.96,96.99
25000,100,7,,752,47,705,23045,1203,6.25,95.04,3.76,97.03
25000,10,9,,755,19,736,23014,1231,2.52,94.92,1.52,96.90
25000,50,9,,753,45,708,23042,1205,5.98,95.03,3.60,97.02
25000,75,9,,751,32,719,23031,1218,4.26,94.98,2.56,96.97
25000,100,9,,748,38,710,23040,1212,5.08,95.00,3.04,97.01
25000,10,11,,739,32,707,23043,1218,4.33,94.98,2.56,97.02
25000,50,11,,752,35,717,23033,1215,4.65,94.99,2.80,96.98
25000,75,11,,753,42,711,23039,1208,5.58,95.02,3.36,97.01
25000,100,11,,751,29,722,23028,1221,3.86,94.96,2.32,96.96
