samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
6000,70,5,0.726001,107,6,101,5599,294,5.61,95.01,2.00,98.23
6000,80,5,0.780671,56,2,54,5646,298,3.57,94.99,0.67,99.05
6000,90,5,0.826154,91,4,87,5613,296,4.40,94.99,1.33,98.47
6000,100,5,0.900539,48,1,47,5653,299,2.08,94.98,0.33,99.18
6000,10,6,0.471309,881,49,832,4868,251,5.56,95.10,16.33,85.40
6000,20,6,0.511119,457,16,441,5259,284,3.50,94.88,5.33,92.26
6000,30,6,0.549793,372,13,359,5341,287,3.49,94.90,4.33,93.70
6000,40,6,0.587366,240,11,229,5471,289,4.58,94.98,3.67,95.98
6000,50,6,0.629331,265,12,253,5447,288,4.53,94.98,4.00,95.56
6000,60,6,0.681731,88,4,84,5616,296,4.55,94.99,1.33,98.53
6000,70,6,0.727021,41,1,40,5660,299,2.44,94.98,0.33,99.30
6000,80,6,0.775486,113,6,107,5593,294,5.31,95.01,2.00,98.12
6000,90,6,0.832917,60,4,56,5644,296,6.67,95.02,1.33,99.02
6000,100,6,0.896419,68,8,60,5640,292,11.76,95.08,2.67,98.95
6000,10,7,0.468687,872,33,839,4861,267,3.78,94.79,11.00,85.28
6000,20,7,0.506173,569,34,535,5165,266,5.98,95.10,11.33,90.61
6000,30,7,0.547681,390,15,375,5325,285,3.85,94.92,5.00,93.42
6000,40,7,0.593558,166,2,164,5536,298,1.20,94.89,0.67,97.12
6000,50,7,0.635917,213,8,205,5495,292,3.76,94.95,2.67,96.40
6000,60,7,0.672453,103,5,98,5602,295,4.85,95.00,1.67,98.28
6000,70,7,0.729196,88,6,82,5618,294,6.82,95.03,2.00,98.56
6000,80,7,0.774810,81,5,76,5624,295,6.17,95.02,1.67,98.67
6000,90,7,0.829011,37,1,36,5664,299,2.70,94.99,0.33,99.37
6000,100,7,0.888205,35,2,33,5667,298,5.71,95.00,0.67,99.42
6000,10,8,0.466636,959,50,909,4791,250,5.21,95.04,16.67,84.05
6000,20,8,0.505734,421,20,401,5299,280,4.75,94.98,6.67,92.96
6000,30,8,0.550166,336,19,317,5383,281,5.65,95.04,6.33,94.44
6000,40,8,0.594898,237,7,230,5470,293,2.95,94.92,2.33,95.96
6000,50,8,0.626352,164,5,159,5541,295,3.05,94.95,1.67,97.21
6000,60,8,0.673688,134,8,126,5574,292,5.97,95.02,2.67,97.79
6000,70,8,0.718810,74,3,71,5629,297,4.05,94.99,1.00,98.75
6000,80,8,0.773738,115,8,107,5593,292,6.96,95.04,2.67,98.12
6000,90,8,0.839252,75,4,71,5629,296,5.33,95.00,1.33,98.75
6000,100,8,0.889067,40,2,38,5662,298,5.00,95.00,0.67,99.33
6000,10,9,0.467518,925,47,878,4822,253,5.08,95.01,15.67,84.60
6000,20,9,0.504642,416,17,399,5301,283,4.09,94.93,5.67,93.00
6000,30,9,0.552036,336,15,321,5379,285,4.46,94.97,5.00,94.37
6000,40,9,0.593241,182,8,174,5526,292,4.40,94.98,2.67,96.95
6000,50,9,0.626548,152,9,143,5557,291,5.92,95.02,3.00,97.49
6000,60,9,0.670178,118,4,114,5586,296,3.39,94.97,1.33,98.00
6000,70,9,0.714065,97,7,90,5610,293,7.22,95.04,2.33,98.42
6000,80,9,0.776753,73,4,69,5631,296,5.48,95.01,1.33,98.79
6000,90,9,0.831972,61,1,60,5640,299,1.64,94.97,0.33,98.95
6000,100,9,0.885807,23,1,22,5678,299,4.35,95.00,0.33,99.61
10000,10,2,,1490,80,1410,8090,420,5.37,95.06,16.00,85.16
10000,50,2,,202,6,196,9304,494,2.97,94.96,1.20,97.94
10000,75,2,,108,4,104,9396,496,3.70,94.99,0.80,98.91
10000,100,2,,54,3,51,9449,497,5.56,95.00,0.60,99.46
10000,10,3,,1597,95,1502,7998,405,5.95,95.18,19.00,84.19
10000,50,3,,265,15,250,9250,485,5.66,95.02,3.00,97.37
10000,75,3,,197,10,187,9313,490,5.08,95.00,2.00,98.03
10000,100,3,,55,1,54,9446,499,1.82,94.98,0.20,99.43
10000,10,5,,1609,58,1551,7949,442,3.60,94.73,11.60,83.67
10000,50,5,,209,9,200,9300,491,4.31,94.99,1.80,97.89
10000,75,5,,119,8,111,9389,492,6.72,95.02,1.60,98.83
10000,100,5,,96,2,94,9406,498,2.08,94.97,0.40,99.01
10000,10,7,,1452,72,1380,8120,428,4.96,94.99,14.40,85.47
10000,50,7,,268,12,256,9244,488,4.48,94.99,2.40,97.31
10000,75,7,,151,7,144,9356,493,4.64,94.99,1.40,98.48
10000,100,7,,55,2,53,9447,498,3.64,94.99,0.40,99.44
10000,10,9,,1582,75,1507,7993,425,4.74,94.95,15.00,84.14
10000,50,9,,289,17,272,9228,483,5.88,95.03,3.40,97.14
10000,75,9,,93,1,92,9408,499,1.08,94.96,0.20,99.03
10000,100,9,,104,4,100,9400,496,3.85,94.99,0.80,98.95
10000,10,11,,1340,55,1285,8215,445,4.10,94.86,11.00,86.47
10000,50,11,,249,11,238,9262,489,4.42,94.99,2.20,97.49
10000,75,11,,136,6,130,9370,494,4.41,94.99,1.20,98.63
10000,100,11,,74,4,70,9430,496,5.41,95.00,0.80,99.26
25000,10,2,,4447,236,4211,19539,1014,5.31,95.07,18.88,82.27
25000,50,2,,785,58,727,23023,1192,7.39,95.08,4.64,96.94
25000,75,2,,415,26,389,23361,1224,6.27,95.02,2.08,98.36
25000,100,2,,353,20,333,23417,1230,5.67,95.01,1.60,98.60
25000,10,3,,4061,213,3848,19902,1037,5.25,95.05,17.04,83.80
25000,50,3,,762,37,725,23025,1213,4.86,95.00,2.96,96.95
25000,75,3,,344,21,323,23427,1229,6.10,95.02,1.68,98.64
25000,100,3,,184,6,178,23572,1244,3.26,94.99,0.48,99.25
25000,10,5,,3847,201,3646,20104,1049,5.22,95.04,16.08,84.65
25000,50,5,,529,31,498,23252,1219,5.86,95.02,2.48,97.90
25000,75,5,,269,14,255,23495,1236,5.20,95.00,1.12,98.93
25000,100,5,,173,4,169,23581,1246,2.31,94.98,0.32,99.29
25000,10,7,,3752,169,3583,20167,1081,4.50,94.91,13.52,84.91
25000,50,7,,588,37,551,23199,1213,6.29,95.03,2.96,97.68
25000,75,7,,405,20,385,23365,1230,4.94,95.00,1.60,98.38
25000,100,7,,200,15,185,23565,1235,7.50,95.02,1.20,99.22
25000,10,9,,3829,155,3674,20076,1095,4.05,94.83,12.40,84.53
25000,50,9,,788,40,748,23002,1210,5.08,95.00,3.20,96.85
25000,75,9,,167,3,164,23586,1247,1.80,94.98,0.24,99.31
25000,100,9,,120,3,117,23633,1247,2.50,94.99,0.24,99.51
25000,10,11,,4086,178,3908,19842,1072,4.36,94.87,14.24,83.55
25000,50,11,,869,40,829,22921,1210,4.60,94.99,3.20,96.51
25000,75,11,,249,15,234,23516,1235,6.02,95.01,1.20,99.01
25000,100,11,,232,7,225,23525,1243,3.02,94.98,0.56,99.05
